hcpcs_code,hcpcs_desc,hcpcs_effectivedt,hcpcs_terminationdt
T2040,"FINANCIAL MANAGEMENT, SELF-DIRECTED, WAIVER; PER 15 MINUTES                                                                                           ",2003-10-01 04:00:00,
T2041,"SUPPORTS BROKERAGE, SELF-DIRECTED, WAIVER; PER 15 MINUTES                                                                                             ",2003-10-01 04:00:00,
T2042,HOSPICE ROUTINE HOME CARE; PER DIEM                                                                                                                   ,2003-10-01 04:00:00,
T2043,HOSPICE CONTINUOUS HOME CARE; PER HOUR                                                                                                                ,2003-10-01 04:00:00,
T2044,HOSPICE INPATIENT RESPITE CARE; PER DIEM                                                                                                              ,2003-10-01 04:00:00,
T2045,HOSPICE GENERAL INPATIENT CARE; PER DIEM                                                                                                              ,2003-10-01 04:00:00,
T2046,"HOSPICE LONG TERM CARE, ROOM AND BOARD ONLY; PER DIEM                                                                                                 ",2003-10-01 04:00:00,
L6711,"TERMINAL DEVICE, HOOK, MECHANICAL, VOLUNTARY OPENING, ANY MATERIAL, ANY SIZE,LINED OR UNLINED, PEDIATRIC                                              ",2009-01-01 05:00:00,
L6712,"TERMINAL DEVICE, HOOK, MECHANICAL, VOLUNTARY CLOSING, ANY MATERIAL, ANY SIZE,LINED OR UNLINED, PEDIATRIC                                              ",2009-01-01 05:00:00,
L6713,"TERMINAL DEVICE, HAND, MECHANICAL, VOLUNTARY OPENING, ANY MATERIAL, ANY SIZE,PEDIATRIC                                                                ",2009-01-01 05:00:00,
L6714,"TERMINAL DEVICE, HAND, MECHANICAL, VOLUNTARY CLOSING, ANY MATERIAL, ANY SIZE,PEDIATRIC                                                                ",2009-01-01 05:00:00,
L6715,"TERMINAL DEVICE,  HOOK,  DORRANCE, OR EQUAL, MODEL #5XA                                                                                               ",2007-01-01 05:00:00,1167541200000.0
L6720,"TERMINAL DEVICE,  HOOK,  DORRANCE, OR EQUAL, MODEL #6                                                                                                 ",2007-01-01 05:00:00,1167541200000.0
L6721,"TERMINAL DEVICE, HOOK OR HAND, HEAVY DUTY, MECHANICAL, VOLUNTARY OPENING, ANYMATERIAL, ANY SIZE, LINED OR UNLINED                                     ",2009-01-01 05:00:00,
L6722,"TERMINAL DEVICE, HOOK OR HAND, HEAVY DUTY, MECHANICAL, VOLUNTARY CLOSING, ANYMATERIAL, ANY SIZE, LINED OR UNLINED                                     ",2009-01-01 05:00:00,
L6725,"TERMINAL DEVICE,  HOOK,  DORRANCE, OR EQUAL, MODEL #7                                                                                                 ",2007-01-01 05:00:00,1167541200000.0
L6730,"TERMINAL DEVICE,  HOOK,  DORRANCE, OR EQUAL, MODEL #7LO                                                                                               ",2007-01-01 05:00:00,1167541200000.0
L6735,"TERMINAL DEVICE,  HOOK,  DORRANCE, OR EQUAL, MODEL #8                                                                                                 ",2007-01-01 05:00:00,1167541200000.0
L6765,"TERMINAL DEVICE,  HOOK,  DORRANCE, OR EQUAL, MODEL #12P                                                                                               ",2007-01-01 05:00:00,1167541200000.0
L6770,"TERMINAL DEVICE,  HOOK,  DORRANCE, OR EQUAL, MODEL #99X                                                                                               ",2007-01-01 05:00:00,1167541200000.0
L6775,"TERMINAL DEVICE,  HOOK,  DORRANCE, OR EQUAL, MODEL #555                                                                                               ",2007-01-01 05:00:00,1167541200000.0
L6780,"TERMINAL DEVICE,  HOOK,  DORRANCE, OR EQUAL, MODEL #SS555                                                                                             ",2007-01-01 05:00:00,1167541200000.0
L6790,"TERMINAL DEVICE,  HOOK-ACCU HOOK, OR EQUAL                                                                                                            ",2007-01-01 05:00:00,1167541200000.0
