CPT_code_1,CPT_code_2,In_Existence,Effective_Date,Deletion_Date,Modifier,PTP_Edit_Rationale
26992,0814T,,20240401,*,0,CPT Manual or CMS manual coding instruction
27278,36591,,20240701,*,0,CPT Manual or CMS manual coding instruction
27278,36592,,20240701,*,0,CPT Manual or CMS manual coding instruction
27278,69990,,20240701,*,0,Misuse of Column Two code with Column One code
27278,96523,,20240701,*,0,CPT Manual or CMS manual coding instruction
27278,99446,,20240701,*,0,CPT Manual or CMS manual coding instruction
27278,99447,,20240701,*,0,CPT Manual or CMS manual coding instruction
27278,99448,,20240701,*,0,CPT Manual or CMS manual coding instruction
27278,99449,,20240701,*,0,CPT Manual or CMS manual coding instruction
27278,99451,,20240701,*,0,CPT Manual or CMS manual coding instruction
27278,99452,,20240701,*,0,CPT Manual or CMS manual coding instruction
27278,99495,,20240701,*,0,CPT Manual or CMS manual coding instruction
27278,99496,,20240701,*,0,CPT Manual or CMS manual coding instruction
29000,64466,,20250401,*,0,Misuse of Column Two code with Column One code
29000,64467,,20250401,*,0,Misuse of Column Two code with Column One code
29000,64468,,20250401,*,0,Misuse of Column Two code with Column One code
29000,64469,,20250401,*,0,Misuse of Column Two code with Column One code
29010,64466,,20250401,*,0,Misuse of Column Two code with Column One code
29010,64467,,20250401,*,0,Misuse of Column Two code with Column One code
29010,64468,,20250401,*,0,Misuse of Column Two code with Column One code
29010,64469,,20250401,*,0,Misuse of Column Two code with Column One code
29015,64466,,20250401,*,0,Misuse of Column Two code with Column One code
29015,64467,,20250401,*,0,Misuse of Column Two code with Column One code
29015,64468,,20250401,*,0,Misuse of Column Two code with Column One code
29015,64469,,20250401,*,0,Misuse of Column Two code with Column One code
29035,64466,,20250401,*,0,Misuse of Column Two code with Column One code
29035,64467,,20250401,*,0,Misuse of Column Two code with Column One code
29035,64468,,20250401,*,0,Misuse of Column Two code with Column One code
29035,64469,,20250401,*,0,Misuse of Column Two code with Column One code
29040,64466,,20250401,*,0,Misuse of Column Two code with Column One code
29040,64467,,20250401,*,0,Misuse of Column Two code with Column One code
29040,64468,,20250401,*,0,Misuse of Column Two code with Column One code
29040,64469,,20250401,*,0,Misuse of Column Two code with Column One code
29044,64466,,20250401,*,0,Misuse of Column Two code with Column One code
29044,64467,,20250401,*,0,Misuse of Column Two code with Column One code
29044,64468,,20250401,*,0,Misuse of Column Two code with Column One code
29044,64469,,20250401,*,0,Misuse of Column Two code with Column One code
29046,64466,,20250401,*,0,Misuse of Column Two code with Column One code
29046,64467,,20250401,*,0,Misuse of Column Two code with Column One code
29046,64468,,20250401,*,0,Misuse of Column Two code with Column One code
29046,64469,,20250401,*,0,Misuse of Column Two code with Column One code
29200,64466,,20250401,*,0,Misuse of Column Two code with Column One code
29200,64467,,20250401,*,0,Misuse of Column Two code with Column One code
29200,64468,,20250401,*,0,Misuse of Column Two code with Column One code
29200,64469,,20250401,*,0,Misuse of Column Two code with Column One code
30400,64466,,20250401,*,0,Misuse of Column Two code with Column One code
30400,64467,,20250401,*,0,Misuse of Column Two code with Column One code
30400,64468,,20250401,*,0,Misuse of Column Two code with Column One code
30400,64469,,20250401,*,0,Misuse of Column Two code with Column One code
30400,64473,,20250401,*,0,Misuse of Column Two code with Column One code
30400,64474,,20250401,*,0,Misuse of Column Two code with Column One code
30420,30469,,20230101,*,0,More extensive procedure
30430,64466,,20250401,*,0,Misuse of Column Two code with Column One code
30430,64467,,20250401,*,0,Misuse of Column Two code with Column One code
30430,64468,,20250401,*,0,Misuse of Column Two code with Column One code
30430,64469,,20250401,*,0,Misuse of Column Two code with Column One code
30430,64473,,20250401,*,0,Misuse of Column Two code with Column One code
30430,64474,,20250401,*,0,Misuse of Column Two code with Column One code
30462,30469,,20230101,*,0,More extensive procedure
30469,0213T,,20230101,*,0,Misuse of Column Two code with Column One code
30469,0216T,,20230101,*,0,Misuse of Column Two code with Column One code
30469,30400,,20230101,*,0,More extensive procedure
30469,30468,,20230101,*,0,Mutually exclusive procedures
30469,36591,,20230101,*,0,CPT Manual or CMS manual coding instruction
30469,36592,,20230101,*,0,CPT Manual or CMS manual coding instruction
30469,62320,,20230101,*,0,Misuse of Column Two code with Column One code
30469,62321,,20230101,*,0,Misuse of Column Two code with Column One code
30469,62322,,20230101,*,0,Misuse of Column Two code with Column One code
30469,62323,,20230101,*,0,Misuse of Column Two code with Column One code
30469,62324,,20230101,*,0,Misuse of Column Two code with Column One code
30469,62325,,20230101,*,0,Misuse of Column Two code with Column One code
30469,62326,,20230101,*,0,Misuse of Column Two code with Column One code
30469,62327,,20230101,*,0,Misuse of Column Two code with Column One code
30469,64400,,20230101,*,0,Misuse of Column Two code with Column One code
30469,64405,,20230101,*,0,Misuse of Column Two code with Column One code
30469,64408,,20230101,*,0,Misuse of Column Two code with Column One code
30469,64415,,20230101,*,0,Misuse of Column Two code with Column One code
30469,64416,,20230101,*,0,Misuse of Column Two code with Column One code
30469,64417,,20230101,*,0,Misuse of Column Two code with Column One code
30469,64418,,20230101,*,0,Misuse of Column Two code with Column One code
30469,64420,,20230101,*,0,Misuse of Column Two code with Column One code
